"PLACE_NAME_MAPPING","PLACE_NAME_GAZETTEER","ALTITUDE","COMMENTS","COUNTRY_NAME","FEATURE_TYPE_NAME","GAZ_ID","GAZETTEER","LATITUDE","LONGITUDE","NAMED_FOR","NARRATIVE","SCAR_COMMON_ID","SCAR_MAP_CAT_ID","SOURCE_COUNTRY_CODE","SOURCE_IDENTIFIER","SOURCE_NAME","SOURCE_PUBLISHER","SOURCE_SCALE","RELIC_FLAG","AUS_DISPLAY_SCALE_20M","AUS_DISPLAY_SCALE_10M","AUS_DISPLAY_SCALE_5M","AUS_DISPLAY_SCALE_2M","AUS_DISPLAY_SCALE_1M","AUS_DISPLAY_SCALE_500K","AUS_DISPLAY_SCALE_250K","AUS_DISPLAY_SCALE_100K","AUS_DISPLAY_SCALE_50K","AUS_DISPLAY_SCALE_25K","AUS_DISPLAY_SCALE_10K","AUS_DISPLAY_SCALE_5K","AUS_DISPLAY_SCALE_1K"
"AAE Glacier","AAE Glacier",,,"Australia","Glacier",137061,"AUS",-67.5888888889,145.616944444,,"Named after the Australasian Antarctic Expedition (AAE) led by Dr Douglas (later Sir Douglas) Mawson in 1912-14, of which the name is an acronym of the expedition title. The expedition was the first to be conducted on the Antarctic Continent purely for the furthering of scientific knowledge and was also the first mounted by personnel from Australia and New Zealand. The expedition was described by the British author J. Gordon Hayes in 1928 as being the  ""... greatest and most consummate expedition that ever sailed for Antarctica"" and by the leader of Scottish National Expedition to Graham Land in 1902-04 (William Spiers Bruce) as ""... the most successful of any recent Antarctic Expedition"".",18717,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",30000,0,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Aagaard Islands","Aagaard Islands",,,"Australia","Island",948,"AUS",-65.85625,53.5840555556,,"A group of ten or more small islands, 1-3 km west of Proclamation Island, Enderby Land.  Discovered on 13 January, 1930, by BANZARE (1929-31) under Sir Douglas Mawson, who named them after Bjarne Aagaard, Norwegian Antarctic historian.",2,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",50000,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Abatus Bay","Abatus Bay",0,,"Australia","Bay",138186,"AUS",-68.563056945801,77.974166870117,"Named in recognition of the importance and dominance of the Abatus group of invertebrate species in soft sediment benthic communities around Davis. Five species of Abatus occur in high abundance around the coastline of Davis station, East Antarctica (A. cavernosus, A. ingens, A. nimrodi, A. philippii and A. shackletoni), at population densities of around 30 individuals per square metre in areas of suitable habitat.","This bay, immediately to the north of Davis station, supports large populations of all five Abatus species, and is typical of the sort of soft substrate habitat that occurs throughout the Prydz Bay/Davis region.",19806,0,,,"Vestfold Hills 50K GIS Topographic Dataset",,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Abbotsmith Glacier","Abbotsmith Glacier",450,,"Australia","Glacier",609,"AUS",-53.1,73.4166944444,"Named after John Abbottsmith, diesel mechanic with the 1948 ANARE Heard Island Expedition. Note the spelling difference between the surname and feature name. Unfortunately John's surname was spelt incorrectly on the voyage list, and it was this spelling that was adopted by the names committee in 1948 when the feature was named.","A glacier on the west coast of Heard Island between Walsh Bluff and Henderson Bluff.",,,,,,,,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Abraxas Lake","Abraxas Lake",12.8,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1221,"AUS",-68.4889999212,78.2869999983,"Abraxas is a Greek work of magical significance.  This lake is like no other in the Vestfold Hills.","The lake, in the Vestfold Hills, with a maximum depth of 19 m, is a sparkling blue color.  It contains at least 3 species of small crustacea and some unusual algae.",22,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Abrupt Island","Abrupt Island",,,"Australia","Island",947,"AUS",-66.9918888889,57.8456944444,,"A small island about 1 km across, just east of the Øygarden Group.",23,,,,,,,0,"No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No"
"Abrupt Point","Abrupt Point",,,"Australia","Point",2188,"AUS",-66.9023,56.7099,"Plotted by Norwegian cartographers from air photographs taken by the Lars Christensen Expedition (1936-37) and called Brattodden (The Abrupt Point).","A rocky point on the western side of Edward VIII Gulf in Kemp Land.  The feature was first visited by an ANARE sledging party led by Robert Dovers in 1954.",24,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Access Slope","Access Slope",,,"Australia","Slope",2478,"AUS",-79.6833333333,156.05,,"A narrow ice slope bordered by the Darwin Mountains on the southern side and by an exposed ice buttress on the northern side.  This ice slope forms part of the Circle Icefall in the Darwin Glacier and appears to be the only route through the icefall.  This descriptive name was given by the Darwin Glacier Party of the TAE (1956-58), who made the first descent of the Darwin Glacier.",31,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ace Lake","Ace Lake",8.8,"Metadata for coordinates and origin of topographic data.","Australia","Water body",1156,"AUS",-68.4718055556,78.1878055556,,"A lake on Long Peninsula, Vestfold Hills. This saline lake was investigated by biologists from Davis in 1974 who had spent nine months searching for a saline lake containing copepods and finding them in this lake, considered it a winner, an 'ace'.",32,,,,"Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"Achernar Island","Achernar Island",,,"Australia","Island",849,"AUS",-66.96,57.2452,,"An island about 2 km long, in the west of the Øygarden Group.  Mapped by Norwegian cartographers from air photographs taken by the Lars Christensen Expedition (1936-37) and called Utx (Outer Island).",35,,,,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Adams Bluff","Adams Bluff",,,"Australia","Bluff",171,"AUS",-82.15,159.9167,,"A bluff in the Holyoake Range, at the head of the Errant Glacier, 15 km south-east of Mount Hunt;  Plotted by the U.S. Geological Survey from air photographs taken by the US Navy in 1960-62.  Named by USACAN after P.L. Adams, meteorologist at Byrd Station in 1961-62 and 1962-63 and McMurdo Station in 1963-64 and 1964-65. ",52,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Adams Fjord","Adams Fjord",,,"Australia","Fjord",426,"AUS",-66.8108333333,50.6919444444,,"A fjord, 11 km long which extends eastwards from the north-east part of Amundsen Bay, just south of Mount Riiser-Larsen.  Photographed and mapped from ANARE aircraft during 1956.  An ANARE party led by Phillip Law entered the Fjord by launch from the Thala Dan on 14 February, 1958 landing at the foot of Mt. Riiser-Larsen.  Named after Ian L. Adams, Officer-in-Charge at Mawson in 1958.",53,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Adams Flat","Adams Flat",,,"Australia","Plain",138260,"AUS",-68.560489,78.025031,"Named after Dr Neil Adams (1961-2012), a scientist who was awarded the Australian Antarctic Medal for his outstanding contribution to the development of the science of Antarctic meteorology, and his exceptional abilities as a forecaster for the Australian Antarctic Program.","A triangular low lying, relatively flat area of approximately 4 square kilometres of sediment-filled glacial valley and occasional rocky outcrops near Davis station.",19839,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Adams Glacier","Adams Glacier",,,"Australia","Glacier",574,"AUS",-66.7986111111,109.671388889,"John Quincey Adams, sixth President of the United States of America","A glacier about 19 km wide flowing north-west into the eastern side of the head of Vincennes Bay off the Budd Coast, Wilkes Land.  Delineated from air photographs taken by USN Operation Highjump (1946-47).  Named by USACAN after John Quincey Adams, sixth President of the United States of America.",54,,"AUS","L710610720000102","Landsat 7","United States Geological Survey (USGS)",300000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Adams Island","Adams Island",,,"Australia","Island",957,"AUS",-66.55,92.55,,"A small rocky island on the western side of McDonald Bay, about 20 km west of Haswell Island, off the coast of Queen Mary Land;  Discovered by the AAE (1911-14) under Sir Douglas Mawson, who named it after the boat-swain of the expedition ship, SY <i>Aurora</i>.",56,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Adamson Bay","Adamson Bay",0,"Metadata for coordinates and origin of topographic data.","Australia","Bay",118,"AUS",-68.6358054928,78.0471944921,"Named after Professor Don Adamson who has made a great contribution to studies of the younger evolution of the Antarctic environment and has published many papers on the topic.","A bay in the Vestfold Hills on the northern side of Crooked Fjord just to the west of Lake Burton and south of Mule Peninsula.  The bay is ice covered in winter and often ice free in summer.",63,,"AUS","vest_hills_gis","Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No"
"Adamson Peak","Adamson Peak",,,"Australia","Peak",139194,"Aus",-66.344021,110.513092,"Named for Heather Adamson (1934-2010). Adamson travelled with the Australian National Antarctic Research Expedition (ANARE) as a biologist undertaking research:  Casey (1986-87), Casey (1987-88), and Casey-Davis-Mawson ice edge (1988-89). Adamson's research deepened understanding of Antarctic plant physiology in mosses and lichens.","Small peak on the Mitchell Peninsula south of Casey station.",20125,,,"Wind50k GIS",,"Australian Antarctic Division",,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Adamson Spur","Adamson Spur",,,"Australia","Spur",134455,"AUS",-70.8277777778,68.1216666667,,"Adamson Spur in Pagodroma Gorge is not a major feature.  However, it clearly exhibits important geometric relationships between the present day gorge profile and the Bardin Bluffs Formation.  Don Adamson discovered these exposures, and emphasized their importance to the understanding of the glacial history of the region.  Adamson Spur will continue to be visited and discussed by both current and future researchers. Named for: Professor Dr. D.A. Adamson (died 2002)  (1) Professor of Biological Sciences at Macquarie University.  (2) Spent several field seasons researching the histories of the various ice-free terrains of the Australian Antarctic Territory (Bunger Hills, Vestfold Hills, Amery Oasis).  (3) Published at least two major research publications on the Radok Lake- Pagodroma Gorge-Beaver Lake area of the Amery Oasis.",18102,,,,"SPOT 5 11 January 2004","CNES",15000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Aerial Cove","Aerial Cove",0,,"Australia","Cove",376,"AUS",-54.491274,158.938601,"Named by the Australasian Antarctic Expedition 1911-14 because it was overlooked by the Expedition's radio aerial.","A cove on the western side of Wireless Hill on Macquarie Island.",,,"AUS","MIvegmap,macca_contour_gis","Macquarie Island Vegetation and Drainage Structure Data Set,Mac Island Contours from AIRSAR Aug 2000","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ahern Glacier","Ahern Glacier",,,"Australia","Glacier",573,"AUS",-81.7833,159.1667,"Named after B. Ahern, a member of the N.Z. Geological Expedition (1964-65).","A glacier flowing eastwards from the vicinity of Mount Massam to the Starshot Glacier.  Discovered by the N.Z. Geological Expedition (1964-65).",123,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ainsworth Bay","Ainsworth Bay",,,"Australia","Bay",82,"AUS",-67.8558333333,146.663333333,,"An open bay on the coast of George V Land, between Cape Bage and Cape Webb.  Discovered in 1912 by the AAE under Sir Douglas Mawson, who named it after G.F. Ainsworth, a member of the expedition.",132,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",50000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Aker Peaks","Aker Peaks",,,"Australia","Peak",2064,"AUS",-66.6193055556,55.3316388889,"Discovered on 14 January, 1931, by a Norwegian whaling expedition under O. Borchgrevink, who named them after the farm of S.F. Brunn, a Director of the Antarctic Whaling Co., at Txnsberg, Norway.","A series of peaks, mainly snow-covered, the highest being about 1,800 m above sea level, WNW of Edward VIII Gulf.",152,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",50000,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Akerman Island","Akerman Island",,,"Australia","Island",2607,"AUS",-69.425,75.9166111111,,"A small low lying island about 3.5 km south-west of Cook Island. Jon Akerman was the 1990 Davis Station Leader and Leader of the 650 km traverse to the Larsemann Hills which completed the marking of a new year-round inland route. The new route 60 km inland allows expeditioners to travel safely throughout the year avoiding seasonally uncertain sea ice and crevassing caused by the movement of five major coastal glaciers.",18729,,,,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Alasheyev Bight","Alasheyev Bight",,,"Australia","Bight",164,"AUS",-67.5,45.6667,"Soviet hydrographer, D.A. Alasheyev","A bight on the western coast of Enderby Land.  Photographed by ANARE aircraft in 1956.  Explored and charted by the Soviet Antarctic Expedition, 1957.  Named after the Soviet hydrographer, D.A. Alasheyev.",163,,"AUS",,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Albatross Tarn","Albatross Tarn",,,"Australia","Water body",139182,"Aus",-53.0064,73.3293,"Named for the significant numbers of albatrosses located near Laurens Peninsula. Albatrosses are an emblematic species of Heard Island.","Tarn located near Anzac Peak on Laurens Peninsula, Heard Island",,,,"WV2 21Feb2016 & 2Mar2017",,"Australian Antarctic Division",,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Albino Rookery","Albino Rookery",5,"Metadata for coordinates and origin of topographic data.","Australia","Colony",2461,"AUS",-68.4619000441,78.1617999641,,"An Adélie penguin colony on the coast of Long Peninsula, Vestfold Hills.",173,,,,"Vestfold Hills Topographic GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Albov Rocks","Albov Rocks",,,"Australia","Rock",2429,"AUS",-66.4666944444,126.75,"The Russian botanist and geographer Nikolai Michailovich Albov (1866 - 1897). He traveled extensively over Patagonia and Tierra del Fuego.","Rock outcrops on the BANZARE Coast of Wilkes Land, about 37 km south-east of Cape Goodenough.  Discovered by the Soviet Antarctic Expedition in 1958.",158,,"AUS",,,,,0,"No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Alderdice Peak","Alderdice Peak",,,"Australia","Peak",2065,"AUS",-68.2,49.5833," W. Alderdice, weather observer at Wilkes Station in 1959","A peak in the eastern part of the Nye Mountains, Enderby Land, about 37 km ESE of Amphitheatre Lake.  Plotted from air photographs taken by an ANARE aircraft in 1956.  Named after W. Alderdice, weather observer at Wilkes Station in 1959.",185,,"AUS",,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Aldi Peak","Aldi Peak",,,"Australia","Peak",138257,"AUS",-80.2853178,154.8596508,"Named after CMSgt. Louis M. Aldi who served as the 109 Airlift Wing Command Chief Master Sergeant during the transition of LC-130 operations from the U.S. Navy to the Air National Guard","A peak rising to 1800 m at the west end of the Ravens Mountains, Britannia Range.",17441,,"NZ",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Alert Island","Alert Island",,,"Australia","Island",138307,"AUS",-53.109917,73.85238,"The <i>Alert</i> was a 398 ton bark from New London, United States. It was one of several vessels that participated in the 1855-56 sealing season, a year which marked the beginning of the peak exploitation period for sealing on Heard Island.","An elongated sandy island that formed following the erosion of Elephant Spit, eastern Heard Island.",,,,,"WorldView 2",,"50,000",0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Alexander Nunataks","Alexander Nunataks",35,,"Australia","Nunatak",1839,"AUS",-66.50125,110.651416667,,"Two rock outcrops on the Budd Coast, south of the Windmill Islands, just east of Browning Peninsula. Plotted from air photographs taken by USN Operation Highjump (1946-47). The northern outcrop was used as an unoccupied trigonometrical station by A. McLaren in 1965. Named after N.H. Alexander, USN, photographer's mate on USN Operation Windmill (1947-48).  ",201,,,,"Windmill Islands 1:50000 GIS Dataset","Australian Antarctic Division",5000,0,"No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"Alexandra Island","Alexandra Island",,,"Australia","Island",138200,"AUS",-66.98639,142.63819,"Alexandra Island was named in 2017 in recognition of the dog that served on the AAE. 'Alexandra', the dog who died alongside Belgrave Ninnis in a tragic sledging accident, was named by AAE members for the Queen Mother, Queen Alexandra (1844-1925). ","An island in the Mackellar Islands lying to the north and north-west of Cape Denison, on the coast of George V Land. Discovered by AAE (1911-14) under Sir Douglas Mawson, who named the group of islands after C.D. Mackellar of London, a patron of the expedition. ",19819,,"AUS",,"Multiple satellite images",,10000,0,"No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"Alfons Island","Alfons Island",,,"Australia","Island",958,"AUS",-67.549,61.4681,"Mapped from aerial photographs taken by the Lars Christensen Expedition (1936-37), and called Kolven.  Renamed by ANARE after Alfons Bolza, weather observer at Mawson in 1958.","The eastern of two small islands just north of Falla Bluff.  Probably first seen by BANZARE under Sir Douglas Mawson in February, 1931.",7719,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Alfred Point","Alfred Point",,,"Australia","Point",138306,"AUS",-53.12178,73.75522,"On 29 December 1854 during a sealing voyage from the United States, the whaling schooner, <i>Alfred</i>, was wrecked at Elephant Spit during a severe storm.  The first of fourteen known shipwrecks at Heard Island, all on the Alfred survived and were eventually rescued. ","A point of sand and shingle that formed following the erosion of Elephant Spit, eastern Heard Island.",,,,,"WorldView 2",,"50,000",0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Alga Lake","Alga Lake",20,,"Australia","Water body",1174,"AUS",-67.0093611111,142.669472222,,"An oval shaped small lake to the east of Round Lake and Long Lake and to the west of Beryl Hill about 360 m ESE from Mawson's main hut at Cape Denison.  The feature was named by Douglas Mawson during the Australasian Antarctic Expedition, 1911-1914 and appears on official maps of the expedition.",213,,"AUS",,"IKONOS",,2000,0,"No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"Algae Lake","Algae Lake",,,"Australia","Water body",1195,"AUS",-66.3063055556,100.7915,"Named after the algae found in the lake.","A lake in the southern part of the Bunger Hills, Knox Coast in Wilkes Land.  Photographed by USN Operation Highjump (1946-47). Mapped by the Soviet Antarctic Expedition in 1956.",215,,,,,,,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Algae River","Algae River",,,"Australia","Watercourse",2753,"AUS",-66.3083333333,100.816666667,"The full extent of the terrestrial portion of the Algae River system was investigated in January 2000 by Dr J.A.E. Gibson. Earlier observations had been made by Dr D.B. Gore.","Algae River is a drainage system, centred on Algae Lake, that connects a series of epiglacial lakes along the southern margin of the Bunger Hills to Algae Lake and then to Transkriptsii Gulf. The length of the river is approximately 25 km in total, making it the third longest terrestrial drainage system known in Antarctica.",17379,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Allan Hills","Allan Hills",,,"Australia","Hill",655,"AUS",-76.7194166667,159.650194444,"Named after Prof. R.S. Allan of the University of Canterbury, New Zealand.","A group of hills, mostly ice-free, 'Y' shaped in plan, about 15 km NNW of Mount Brooke.  The hills lie in the most south-westerly sources of the Mawson Glacier (Ross Dependency). Discovered by the New Zealand party of the TAE (1957-58).",229,13395,,,"Convoy Range","United States Geological Survey (USGS)",250000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"All-Blacks Nunataks","All-Blacks Nunataks",,,"Australia","Nunatak",1840,"AUS",-81.4833055556,155.75,,"A group of nunataks, lying south of Wallabies Nunataks, about 44 km west of Mount Albert Markham.  Discovered and named by the New Zealand Geological and Survey Antarctic Expedition (1960-61).",227,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Allemand Peak","Allemand Peak",,,"Australia","Peak",2066,"AUS",-78.4,158.6,,"A peak lying 2.5 km south of Moody Peak in the northern part of the Boomerang Range.  Plotted from US Navy air photographs.  Named by USACAN after L.J. Allemand, construction driver at Little America V in 1958.",234,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Alley Glacier","Alley Glacier",,,"Australia","Glacier",138217,"AUS",-79.96666667,158.0833333,"Named by US-ACAN after Richard B. Alley, Department of Geosciences, Pennsylvania State University, USAP glaciologist.","A glacier that drains the N slopes of Britannia Range in the vicinity of Ward Tower and flows N to Darwin Glacier. ",17019,,"NZ",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Alligator Island","Alligator Island",,,"Australia","Island",949,"AUS",-66.5627777778,97.6613888889,,"A small, steep, rocky island, about 1 km long and 200 m wide, rising about 89 m above the Shackleton Ice Shelf, off the coast of Queen Mary Land.  Discovered by the Western Base Party of AAE (1911-14), who so named it because of its shape.",242,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",25000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Alligator Peak","Alligator Peak",,,"Australia","Peak",2067,"AUS",-78.4667,158.7167,,"A prominent, conical, rock peak at the head of Alligator Ridge.  It is one of the highest peaks in the northern half of the Boomerang Range.  So named by TAE (1957-58) because of its proximity to Alligator Ridge.",243,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Alligator Ridge","Alligator Ridge",,,"Australia","Ridge",2317,"AUS",-78.4667,158.7667,,"A spectacular, serrated, rock ridge running north-east for 4 km from a nunatak near the centre of the Boomerang Range into the Skelton N&#233;v&#233;.  Discovered and so named by TAE (1957-58) because of its shape.",244,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Allison Bay","Allison Bay",,,"Australia","Bay",83,"AUS",-67.4922,61.1549,"Renamed after Dr. R. Allison, medical officer at Mawson in 1955.","A bay just west of Jelbart Glacier in Mac.Robertson Land.  Photographed from the air by the Lars Christensen Expedition (1936-37) and called Isvika (The Ice Bay) by Norwegian Cartographers.  Visited by ANARE parties in 1954 and 1955.",246,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Allison Buttress","Allison Buttress",2060,,"Australia","Buttress",223,"AUS",-53.0879722222,73.4893888889,,"A high rock buttress on the western side of Big Ben on Heard Island separating the Allison and Abbotsmith Glaciers. Dr Robert W Allison was Medical Officer and Officer-in-Charge with the 1949 ANARE Heard Island Expedition.",,,,,"WorldView Image 23 March 2008","DigitalGlobe",5000,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Allison Dome","Allison Dome",,,"Australia","Dome",403,"AUS",-73.5547222222,70.5997222222,,"A prominent isolated ice feature, about 56 km east of the southern end of the Mawson Escarpment, Mac.Robertson Land.  Photographed by ANARE in 1960.  A fuel depot was established nearby by the ANARE Prince Charles Mountains survey party in 1972.  Named after Ian F. Allison, glaciologist at Mawson in 1969 and a member of the Prince Charles Mountains surveys in 1972 and 1974.",247,,"AUS","E133_CIR_432_1X","Landsat Image Mosaic Antarctica (LIMA)","United States Geological Survey (USGS)",30000,0,"No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No"
"Allison Glacier","Allison Glacier",350,,"Australia","Glacier",620,"AUS",-53.0833055556,73.4166944444,"Named after Ian Allison, glaciologist, Australian Antarctic Division, who carried out glaciological studies in this area in 1971 during the French-Australian Expedition.","An ice stream on Heard Island flowing from Big Ben down to the sea to the south of Cape Gazert.",,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Allison Ridge","Allison Ridge",,,"Australia","Ridge",2316,"AUS",-70.75875,66.2830555556,,"A rock ridge, partly snow-covered, about 1 km west of Mount Bunt in the Aramis Range of the Prince Charles Mountains.  Plotted from ANARE air photography taken in 1960. Named after D. Allison, electrical engineer at Mawson in 1965.",251,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United Sates Geological Survey",30000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Alphard Island","Alphard Island",,,"Australia","Island",950,"AUS",-66.9571,57.4947,"Mapped by Norwegian cartographers from aerial photographs taken by the Lars Christensen Expedition (1936-37) and called Mexya (The Middle Island).  ","An island, about 6 km long and rising to 150 m above sea level, in the central part of the XGroup. First visited by an ANARE party led by R. Dovers in 1954.  Renamed after the star, Alphard.",264,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Amanda Bay","Amanda Bay",0,,"Australia","Bay",80,"AUS",-69.25,76.8333055556,,"A bay about 4 km across and 4 km long, in the south-eastern part of Prydz Bay.  Mapped by Norwegian cartographers from aerial photographs taken by the Lars Christensen Expedition (1936-37) and called Hovdevika.  Photographed by an ANARE aircraft on 26 August, 1957. Renamed by ANARE after the daughter of Squadron Leader P. Clemence, RAAF, who commanded the Antarctic Flight at Mawson in 1957.",6656,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Amanda Bay Colony","Amanda Bay Colony",,"Location as of 28/11/2021","Australia","Colony",2459,"AUS",-69.27,76.83,,"A colony of emperor penguins located in Amanda Bay, southern Prydz Bay, Princess Elizabeth Land. Note: emperor penguin colonies may not remain in one fixed location.  This feature was formally known as Amanda Rookery. It was changed to Amanda Bay Colony in June 2023 to reflect the emperor penguin colony.",280,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",25000,0,"No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ambalada Peak","Ambalada Peak",,,"Australia","Peak",2069,"AUS",-75.95,158.3833,,"A rock peak, 2,160 m high standing 3.2 km south-east of Griffin Nunatak in the Prince Albert Mountains, Victoria Land.  Mapped by USGS from surveys and USN air photos, 1956-62.  Named by USACAN for Cesar N. Ambalada, electrician with the South Pole Station winter party, 1966.",281,,"AUS",,,,,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Amery Depression","Amery Depression",-500,,"Australia","Depression",393,"AUS",-68.25,74.5,,"A large gentle depression on the seafloor of Prydz Bay to approximately 900 m deep.  The feature occupies the centre of Prydz Bay below 500 m and probably acts a depot centre for sedimentation in Prydz Bay.  Named for its association with the Amery Ice Shelf.",294,,,,"GEBCO gazetteer","Australian Antarctic Division",,0,"No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"Amery Ice Shelf","Amery Ice Shelf",,,"Australia","Ice shelf",740,"AUS",-69.75,71,"Named by Douglas Mawson in 1931 for Rt. Hon. Leopold S. Amery. Originally named Cape Amery to commemorate his assistance and help in connection with the organisation and dispatch of the B.A.N.Z. Antarctic Research Expedition. ","A broad ice shelf at the head of a large embayment, consisting of Prydz Bay and MacKenzie Bay. A prominent point of the ice shelf was mapped by BANZARE (1929-31) on 11 February, 1931. Further exploration showed that Cape Amery had broken off and floated away, so the name Amery was applied to the whole ice shelf.",295,,,,,,,0,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Amery Peaks","Amery Peaks",,,"Australia","Peak",2068,"AUS",-70.6333333333,67.3833333333,,"A group of peaks on the eastern end of the Aramis Range in the Prince Charles Mountains.  Discovered by the ANARE southern party, (1956-57), led by W.G. Bewsher and so named because of their proximity to the Amery Ice Shelf.",297,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United Sates Geological Survey",30000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Amphitheatre Lake","Amphitheatre Lake",,,"Australia","Water body",1196,"AUS",-68.1,48.75,,"A smooth-surfaced, melt lake approximately 3 km by 3 km running east-west.  The lake is almost completely enclosed by rock and ice cliffs, forming an amphitheatre, with an outlet into the Rayner Glacier at the western end.  Photographed in 1956 from ANARE aircraft and visited by an ANARE airborne field party in November, 1958.",310,,"AUS",,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
