"PLACE_NAME_MAPPING","PLACE_NAME_GAZETTEER","ALTITUDE","COMMENTS","COUNTRY_NAME","FEATURE_TYPE_NAME","GAZ_ID","GAZETTEER","LATITUDE","LONGITUDE","NAMED_FOR","NARRATIVE","SCAR_COMMON_ID","SCAR_MAP_CAT_ID","SOURCE_COUNTRY_CODE","SOURCE_IDENTIFIER","SOURCE_NAME","SOURCE_PUBLISHER","SOURCE_SCALE","RELIC_FLAG","AUS_DISPLAY_SCALE_20M","AUS_DISPLAY_SCALE_10M","AUS_DISPLAY_SCALE_5M","AUS_DISPLAY_SCALE_2M","AUS_DISPLAY_SCALE_1M","AUS_DISPLAY_SCALE_500K","AUS_DISPLAY_SCALE_250K","AUS_DISPLAY_SCALE_100K","AUS_DISPLAY_SCALE_50K","AUS_DISPLAY_SCALE_25K","AUS_DISPLAY_SCALE_10K","AUS_DISPLAY_SCALE_5K","AUS_DISPLAY_SCALE_1K"
"East Lake","East Lake",27,,"Australia","Water body",1169,"AUS",-67.01175,142.682972222,"descriptive","The easternmost and smallest of the lakes at Cape Denison, about 990 m ESE from Mawson's main hut.  The feature was named by Douglas Mawson during the Australasian Antarctic Expedition, 1911-1914 and appears on official maps of the expedition.",4032,,"AUS",,"IKONOS",,2000,0,"No","No","No","No","No","No","No","No","No","No","Yes","Yes","No"
"East Stack","East Stack",,,"Australia","Stack",2490,"AUS",-67.0759,58.2628,"Discovered and named by the William Scoresby Expedition in February, 1936.","A rock outcrop about 60 m above sea level, on the eastern side of Hoseason Glacier in Kemp Land.  ",4038,,"AUS",,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Easther Island","Easther Island",65,,"Australia","Island",976,"AUS",-69.3745167921,76.2366526669,"Named after Robert Easther, Officer-in-Charge at Davis in 1986, who helped to establish Law Base.","An island in the Larsemann Hills which somewhat resembles the letter ""H"".  Plotted from air photographs taken by the Lars Christensen Expedition 1936-37 and called Upsxy by Norwegian cartographers.",4041,,"AUS","Lars25K","Larsemann Hills 1:25000 Topographic GIS Dataset ","Australian Antarctic Division",25000,0,"No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Edisto Channel","Edisto Channel",,,"Australia","Channel",332,"AUS",-66.0711,100.8354,"Named after the USS <I>Edisto</I>, which took part in USN Operation Windmill, (1947-48).","A channel between the islands off the Bunger Hills on the Knox Coast of Wilkes Land.  Delineated from aerial photographs taken by USN Operation Highjump (1946-47).",4075,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Edisto Glacier","Edisto Glacier",,,"Australia","Glacier",456,"AUS",-66.1666944444,100.616694444,,"A glacier tongue which branches off the Scott Glacier in Queen Mary Land.  Delineated from air photographs taken by USN Operation Highjump (1946-47)",4077,,"AUS",,,,,0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Edward Ridge","Edward Ridge",,,"Australia","Ridge",2351,"AUS",-67.2167,55.5667,"Edward Nash, aircraft engineer with the ANARE Expedition on the MV <i>Nella Dan</i>, 1965","A gently-rising snow-covered feature, the main ridge of which runs north-east to south-west with exposed rock faces on the south-east slopes.  It is about 24 km north-west of Rayner Peak in Kemp Land.  Plotted from ANARE air photographs.  Named after Edward Nash, aircraft engineer with the ANARE Expedition on the MV <i>Nella Dan</i> led by Phillip Law in 1965.",4086,,"AUS",,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Edward VIII Gulf","Edward VIII Gulf",,,"Australia","Gulf",627,"AUS",-66.8333,57,"Named after HM King Edward VIII of England. ","A gulf in the coast of Kemp Land.   Discovered by the William Scoresby Expedition (1936).   ",4088,,"AUS",,,,,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Edwards Islands","Edwards Islands",,,"Australia","Island",1069,"AUS",-66.8537222222,50.4979444444,,"A group of islands in Amundsen Bay about 7 km west of Mount Oldfield, Enderby Land.  Plotted from air photographs taken from ANARE aircraft in 1956.  Named after T. Edwards, assistant diesel mechanic at Wilkes in 1960.",4094,,,,"LIMA - Landsat Image Mosaic Antarctica","USGS - United States Geological Survey",50000,0,"No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Edwards Nunatak","Edwards Nunatak",,,"Australia","Nunatak",1896,"AUS",-70.7761111111,65.6955555556,,"A nunatak with two small outliers, about 13 km south-west of Mount Downie in the Aramis Range, Prince Charles Mountains.  Plotted from ANARE air photographs. Named after D.R. Edwards, radio technician at Mawson in 1969, who took part in the Prince Charles Mountains survey in 1969.",4096,,,,"LIMA - Landsat Image Mosaic Antarctica ","USGS - United States Geological Survey",30000,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"Edwards Pillar","Edwards Pillar",2010,,"Australia","Pillar",2120,"AUS",-73.0782777778,66.3190277778,,"A large rock pillar on the western face of Mount Stinear, Prince Charles Mountains.  The feature is in the vicinity of a geodetic survey station established by the ANARE Prince Charles Mountains survey party in 1971. Named after N.F. Edwards, a surveyor with the party.",4098,,"AUS","NMS125","Geoscience Australia Survey Control Database","Geoscience Australia Survey Control Database",,0,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
